id;device_id;product_name;product_sku;category_name;amount;status;created_at;happened_at
1;169;libero. Morbi;3770009015048;amet,;749;cancelled;10.16.2022 3:52:35;05.15.2022 8:10:46
2;9;hendrerit a,;3770009015049;magna;235;refused;02.22.2023 9:02:54;08.15.2022 9:06:29
3;25;neque vitae;3770009015074;montes,;304;accepted;02.27.2023 6:21:32;01.26.2022 6:50:55
4;89;Sed eu;3770009015042;erat;141;accepted;01.01.2023 03:10;10.09.2022 07:59
5;40;dolor. Nulla;3770009015049;Etiam;549;cancelled;10.09.2022 03:20;10.23.2021 10:12:44
6;44;vel pede;3770009015050;dictum;873;refused;12.22.2022 9:37:12;10.21.2022 8:27:40
7;59;et netus;3770009015073;ac;638;accepted;12.13.2022 1:09:03;10.07.2021 05:02
8;4;consequat dolor;3770009015075;vel;710;accepted;01.24.2023 6:45:50;11.27.2022 1:46:14
9;111;posuere cubilia;3770009015047;massa.;262;accepted;11.17.2022 1:53:23;12.09.2021 06:00
10;159;Donec fringilla.;3770009015172;Morbi;613;accepted;12.25.2022 11:28:15;02.10.2023 03:26
11;29;malesuada vel,;3770009015172;Duis;386;refused;11.21.2022 7:59:22;09.26.2022 5:56:42
12;142;augue. Sed;3770009015046;rutrum;518;refused;10.06.2022 11:05;01.15.2023 6:45:43
13;69;dapibus rutrum,;3770009015233;Maecenas;148;cancelled;10.01.2022 05:18;11.21.2022 10:00:53
14;33;lobortis quam;3770009015052;quam;405;cancelled;12.05.2022 05:31;12.30.2022 6:59:28
15;141;sed dolor.;3770009015052;ornare,;748;accepted;02.15.2023 3:02:02;01.18.2023 11:09:04
16;81;felis ullamcorper;3770009015233;adipiscing;509;cancelled;01.06.2023 07:59;10.25.2021 11:49:45
17;62;amet ante.;3770009015047;sit;884;refused;02.03.2023 06:27;02.16.2022 4:36:32
18;160;vitae nibh.;3770009015235;ultrices;707;cancelled;10.12.2022 08:17;09.25.2022 7:31:09
19;196;Vestibulum ut;3770009015075;Cras;571;cancelled;10.15.2022 12:31:41;10.25.2022 2:02:21
20;128;tristique senectus;3770009015048;lorem;547;cancelled;02.22.2023 1:09:25;03.20.2022 7:32:39
21;186;ullamcorper magna.;3770009015052;semper;883;accepted;11.28.2022 5:03:56;07.03.2022 12:05
22;138;ultricies ornare,;3770009015051;In;329;accepted;01.02.2023 05:59;09.21.2022 4:01:37
23;82;amet ultricies;3770009015074;Morbi;660;accepted;12.12.2022 04:48;11.18.2021 4:47:59
24;151;faucibus. Morbi;3770009015172;mauris;794;refused;12.08.2022 07:32;07.30.2022 12:24:58
25;111;nec, mollis;3770009015233;Mauris;861;refused;11.23.2022 6:35:26;03.05.2022 12:30
26;32;est ac;v3770009015028;risus.;736;refused;10.21.2022 1:05:03;04.30.2022 8:39:10
27;75;augue ut;3770009015052;eros;490;accepted;01.07.2023 09:37;06.09.2022 12:35
28;157;fermentum vel,;3770009015235;turpis;864;cancelled;01.28.2023 6:12:27;04.08.2022 05:41
29;19;lorem semper;3770009015073;luctus;807;refused;11.08.2022 10:03;01.22.2022 7:52:47
30;149;lorem lorem,;3770009015074;luctus;517;refused;10.18.2022 12:35:58;04.12.2022 07:38
31;157;vel, venenatis;3770009015049;massa.;845;accepted;01.31.2023 4:22:55;07.18.2022 4:03:22
32;5;aliquam, enim;3770009015052;Proin;436;refused;01.25.2023 8:50:07;06.07.2022 01:24
33;15;consectetuer adipiscing;3770009015172;tortor.;344;cancelled;12.05.2022 12:30;12.13.2021 9:59:26
34;74;amet ante.;3770009015044;lectus;178;accepted;10.10.2022 02:03;06.21.2022 6:52:12
35;165;eu, euismod;3770009015048;adipiscing;733;accepted;10.21.2022 5:04:15;11.23.2021 2:09:01
36;69;euismod in,;3770009015044;et;173;cancelled;12.10.2022 11:18;11.14.2022 9:08:45
37;180;convallis in,;3770009015048;Aliquam;1;accepted;12.23.2022 7:05:37;11.21.2021 5:00:31
38;187;Vestibulum accumsan;3770009015043;non;428;refused;01.01.2023 10:09;08.13.2022 7:30:19
39;94;posuere cubilia;3770009015050;amet;903;accepted;12.07.2022 08:17;02.23.2022 7:10:37
40;144;tincidunt. Donec;v3770009015028;Nullam;41;refused;11.07.2022 02:29;04.04.2022 07:14
41;115;litora torquent;3770009015233;non;433;refused;01.18.2023 4:57:17;08.31.2022 1:14:21
42;175;Aliquam gravida;v3770009015028;adipiscing;875;refused;02.09.2023 04:06;09.05.2022 07:42
43;196;adipiscing, enim;3770009015075;pellentesque;78;accepted;10.19.2022 1:29:29;02.13.2022 1:25:34
44;44;commodo ipsum.;3770009015074;convallis;640;refused;11.05.2022 11:43;05.21.2022 3:46:55
45;140;aliquet, sem;3770009015048;eget,;576;cancelled;10.13.2022 5:25:29;01.07.2023 03:29
46;138;lobortis augue;3770009015050;ut;582;refused;02.08.2023 11:27;03.19.2022 8:41:43
47;9;lorem ac;3770009015075;consequat;178;cancelled;10.30.2022 3:13:46;07.22.2022 9:37:46
48;55;est. Mauris;3770009015044;urna;163;accepted;10.15.2022 6:01:07;11.14.2021 1:52:39
49;171;aptent taciti;3770009015043;dictum;449;cancelled;12.18.2022 9:28:32;03.09.2022 03:57
50;60;a, aliquet;3770009015234;enim.;948;refused;11.23.2022 3:24:09;03.10.2022 09:47
51;162;pede. Cum;3770009015073;imperdiet,;709;cancelled;01.16.2023 6:57:30;02.17.2023 1:23:39
52;57;vel arcu.;3770009015075;Donec;441;cancelled;11.28.2022 11:15:04;12.23.2021 7:59:52
53;164;pharetra. Quisque;3770009015051;nunc;644;refused;11.04.2022 01:41;03.14.2022 4:24:28
54;93;sed dui.;3770009015075;Nullam;762;accepted;01.26.2023 6:43:46;08.26.2022 1:20:46
55;139;sit amet,;3770009015233;ac;243;refused;02.10.2023 07:14;02.21.2023 7:19:09
56;92;ut, sem.;3770009015044;semper;500;cancelled;11.16.2022 11:00:49;06.27.2022 6:33:21
57;151;velit in;3770009015047;id,;640;refused;10.31.2022 8:53:33;12.09.2022 12:50
58;106;arcu ac;3770009015052;vitae,;790;cancelled;10.01.2022 02:15;10.08.2022 09:00
59;191;non arcu.;3770009015051;sem.;473;refused;01.03.2023 12:29;05.17.2022 9:58:42
60;51;eu, ultrices;3770009015048;viverra.;811;cancelled;10.14.2022 10:05:13;08.24.2022 3:19:50
61;147;dolor. Fusce;3770009015051;dui,;14;cancelled;01.06.2023 09:15;11.25.2022 7:53:03
62;34;amet diam;3770009015235;Nulla;427;cancelled;01.02.2023 03:08;10.27.2022 1:43:23
63;146;velit eget;3770009015050;sodales;258;cancelled;12.12.2022 09:02;07.30.2022 11:23:16
64;38;Lorem ipsum;3770009015004;magna;836;refused;01.05.2023 06:11;01.12.2023 10:26
65;96;nec enim.;3770009015042;tincidunt,;78;cancelled;11.01.2022 06:27;01.06.2023 10:29
66;59;gravida nunc;v3770009015028;vulputate;687;refused;10.22.2022 9:02:27;05.20.2022 7:42:29
67;44;parturient montes,;3770009015050;ridiculus;379;cancelled;01.22.2023 9:27:39;02.25.2022 9:12:27
68;105;libero. Integer;3770009015044;orci,;161;cancelled;10.20.2022 2:08:47;02.26.2022 9:51:26
69;183;nibh. Phasellus;3770009015049;a;437;accepted;11.17.2022 12:33:56;12.16.2021 10:38:32
70;88;egestas lacinia.;3770009015051;dolor;535;cancelled;02.09.2023 07:36;11.18.2021 12:56:05
71;154;per inceptos;3770009015045;Nunc;306;cancelled;10.15.2022 2:34:32;09.28.2022 7:38:29
72;108;sed, facilisis;3770009015004;lorem;983;accepted;02.27.2023 11:14:10;11.22.2022 12:06:17
73;127;ridiculus mus.;3770009015042;Nunc;836;cancelled;02.07.2023 02:37;12.15.2022 7:34:09
74;82;elit pede,;3770009015042;luctus;707;refused;12.23.2022 10:34:37;12.15.2021 8:42:24
75;71;metus. Aliquam;3770009015043;erat;559;cancelled;01.24.2023 7:41:25;08.05.2022 03:07
76;148;diam nunc,;3770009015043;a,;32;refused;10.30.2022 8:48:57;10.11.2022 07:45
77;35;Vivamus nibh;3770009015052;ac;768;refused;01.14.2023 10:07:57;03.11.2022 04:32
78;17;sodales nisi;3770009015234;vel,;12;cancelled;11.10.2022 03:07;07.11.2022 08:20
79;71;convallis, ante;3770009015235;eleifend;467;accepted;12.13.2022 9:34:29;06.16.2022 11:44:59
80;146;vehicula risus.;3770009015051;in;872;refused;12.20.2022 10:03:19;03.22.2022 12:09:15
81;195;dapibus id,;3770009015172;Donec;9;accepted;12.16.2022 7:45:39;01.21.2023 6:37:02
82;98;Curae Phasellus;3770009015042;feugiat.;986;refused;02.20.2023 5:50:28;02.24.2022 7:38:57
83;113;Vestibulum ante;3770009015234;nonummy.;808;cancelled;12.07.2022 05:38;02.15.2023 4:16:08
84;140;eleifend vitae,;3770009015073;malesuada;372;cancelled;10.04.2022 04:11;10.08.2022 05:02
85;26;mauris a;3770009015051;elementum;595;cancelled;01.25.2023 8:48:29;09.26.2022 6:49:44
86;183;faucibus ut,;3770009015043;adipiscing;549;accepted;11.29.2022 7:30:01;02.10.2023 06:19
